date,price
2016-03-31,7738.4
2016-03-30,7735.2
2016-03-29,7597
2016-03-28,7615.1
2016-03-23,7716.5
2016-03-22,7714.9
2016-03-21,7704.25
2016-03-18,7604.35
2016-03-17,7512.55
2016-03-16,7498.75
2016-03-15,7460.6
2016-03-14,7538.75
2016-03-11,7510.2
2016-03-10,7486.15
2016-03-09,7531.8
2016-03-08,7485.3
2016-03-04,7485.35
2016-03-03,7475.6
2016-03-02,7368.85
2016-03-01,7222.3
2016-02-29,6987.05
2016-02-26,7029.75
2016-02-25,6970.6
2016-02-24,7018.7
2016-02-23,7109.55
2016-02-22,7234.55
2016-02-19,7210.75
2016-02-18,7191.75
2016-02-17,7108.45
2016-02-16,7048.25
2016-02-15,7162.95
2016-02-12,6980.95
2016-02-11,6976.35
2016-02-10,7215.7
2016-02-09,7298.2
2016-02-08,7387.25
2016-02-05,7489.1
2016-02-04,7404
2016-02-03,7361.8
2016-02-02,7455.55
2016-02-01,7555.95
2016-01-29,7563.55
2016-01-28,7424.65
2016-01-27,7437.75
2016-01-25,7436.15
2016-01-22,7422.45
2016-01-21,7276.8
2016-01-20,7309.3
2016-01-19,7435.1
2016-01-18,7351
2016-01-15,7437.8
2016-01-14,7536.8
2016-01-13,7562.4
2016-01-12,7510.3
2016-01-11,7563.85
2016-01-08,7601.35
2016-01-07,7568.3
2016-01-06,7741
2016-01-05,7784.65
2016-01-04,7791.3
2016-01-01,7982
2015-12-31,7946.35
2015-12-30,7896.25
2015-12-29,7928.95
2015-12-28,7925.15
2015-12-24,7861.05
2015-12-23,7865.95
2015-12-22,7786.1
2015-12-21,7834.45
2015-12-18,7761.95
2015-12-17,7844.35
2015-12-16,7750.9
2015-12-15,7700.9
2015-12-14,7650.05
2015-12-11,7610.45
2015-12-10,7683.3
2015-12-09,7612.5
2015-12-08,7701.7
2015-12-07,7765.4
2015-12-04,7781.9
2015-12-03,7864.15
2015-12-02,7931.35
2015-12-01,7954.9
2015-11-30,7935.25
2015-11-27,7942.7
2015-11-26,7883.8
2015-11-24,7831.6
2015-11-23,7849.25
2015-11-20,7856.55
2015-11-19,7842.75
2015-11-18,7731.8
2015-11-17,7837.55
2015-11-16,7806.6
2015-11-13,7762.25
2015-11-11,7825
2015-11-10,7783.35
2015-11-09,7915.2
2015-11-06,7954.3
2015-11-05,7955.45
2015-11-04,8040.2
2015-11-03,8060.7
2015-11-02,8050.8
2015-10-30,8065.8
2015-10-29,8111.75
2015-10-28,8171.2
2015-10-27,8232.9
2015-10-26,8260.55
2015-10-23,8295.45
2015-10-21,8251.7
2015-10-20,8261.65
2015-10-19,8275.05
2015-10-16,8238.15
2015-10-15,8179.5
2015-10-14,8107.9
2015-10-13,8131.7
2015-10-12,8143.6
2015-10-09,8189.7
2015-10-08,8129.35
2015-10-07,8177.4
2015-10-06,8152.9
2015-10-05,8119.3
2015-10-01,7950.9
2015-09-30,7948.9
2015-09-29,7843.3
2015-09-28,7795.7
2015-09-24,7868.5
2015-09-23,7845.95
2015-09-22,7812
2015-09-21,7977.1
2015-09-18,7981.9
2015-09-16,7899.15
2015-09-15,7829.1
2015-09-14,7872.25
2015-09-11,7789.3
2015-09-10,7788.1
2015-09-09,7818.6
2015-09-08,7688.25
2015-09-07,7558.8
2015-09-04,7655.05
2015-09-03,7823
2015-09-02,7717
2015-09-01,7785.85
2015-08-31,7971.3
2015-08-28,8001.95
2015-08-27,7948.95
2015-08-26,7791.85
2015-08-25,7880.7
2015-08-24,7809
2015-08-21,8299.95
2015-08-20,8372.75
2015-08-19,8495.15
2015-08-18,8466.55
2015-08-17,8477.3
2015-08-14,8518.55
2015-08-13,8355.85
2015-08-12,8349.45
2015-08-11,8462.35
2015-08-10,8525.6
2015-08-07,8564.6
2015-08-06,8588.65
2015-08-05,8567.95
2015-08-04,8516.9
2015-08-03,8543.05
2015-07-31,8532.85
2015-07-30,8421.8
2015-07-29,8375.05
2015-07-28,8337
2015-07-27,8361
2015-07-24,8521.55
2015-07-23,8589.8
2015-07-22,8633.5
2015-07-21,8529.45
2015-07-20,8603.45
2015-07-17,8609.85
2015-07-16,8608.05
2015-07-15,8523.8
2015-07-14,8454.1
2015-07-13,8459.65
2015-07-10,8360.55
2015-07-09,8328.55
2015-07-08,8363.05
2015-07-07,8510.8
2015-07-06,8522.15
2015-07-03,8484.9
2015-07-02,8444.9
2015-07-01,8453.05
2015-06-30,8368.5
2015-06-29,8318.4
2015-06-26,8381.1
2015-06-25,8398
2015-06-24,8360.85
2015-06-23,8381.55
2015-06-22,8353.1
2015-06-19,8224.95
2015-06-18,8174.6
2015-06-17,8091.55
2015-06-16,8047.3
2015-06-15,8013.9
2015-06-12,7982.9
2015-06-11,7965.35
2015-06-10,8124.45
2015-06-09,8022.4
2015-06-08,8044.15
2015-06-05,8114.7
2015-06-04,8130.65
2015-06-03,8135.1
2015-06-02,8236.45
